type,pid,tid,splits,missing,overlaps,sequence_diff
old_vs_fixed,p106,t1,0.015037593984962405,0.007518796992481203,0.9774436090225563,0.8383458646616542
old_vs_fixed,p58,t1,0.001440922190201729,0.0,0.9985590778097982,0.8387329013678906
old_vs_fixed,p23,t4,0.010924369747899159,0.0025210084033613447,0.9865546218487395,0.8390756302521009
old_vs_fixed,p54,t3,0.007082152974504249,0.00141643059490085,0.9915014164305949,0.8412921348314607
old_vs_fixed,p25,t3,0.006828528072837633,0.0015174506828528073,0.9916540212443096,0.8421052631578947
old_vs_fixed,p14,t1,0.0041981528127623844,0.0041981528127623844,0.9916036943744753,0.8429890848026869
old_vs_fixed,p77,t1,0.009887005649717515,0.005649717514124294,0.9844632768361582,0.8431786216596343
old_vs_fixed,p45,t1,0.0065237651444548,0.001863932898415657,0.9916123019571296,0.8435185185185186
old_vs_fixed,p25,t1,0.003931847968545216,0.001310615989515072,0.9947575360419397,0.8437908496732026
old_vs_fixed,p101,t1,0.011857707509881422,0.003952569169960474,0.9841897233201581,0.8438735177865613
old_vs_fixed,p27,t1,0.025510204081632654,0.01020408163265306,0.9642857142857143,0.8443877551020408
old_vs_fixed,p54,t1,0.01608187134502924,0.007309941520467836,0.9766081871345029,0.8445255474452554
old_vs_fixed,p31,t2,0.00331858407079646,0.0022123893805309734,0.9944690265486725,0.8447136563876652
old_vs_fixed,p96,t2,0.0053475935828877,0.0,0.9946524064171123,0.8465608465608465
old_vs_fixed,p56,t2,0.002232142857142857,0.0,0.9977678571428571,0.8495575221238938
old_vs_fixed,p100,t3,0.0,0.00909090909090909,0.990909090909091,0.85
old_vs_fixed,p101,t3,0.0030211480362537764,0.0030211480362537764,0.9939577039274925,0.8528528528528528
old_vs_fixed,p92,t3,0.0136986301369863,0.0,0.9863013698630136,0.8529411764705882
old_vs_fixed,p22,t3,0.0188953488372093,0.00436046511627907,0.9767441860465116,0.8554131054131054
old_vs_fixed,p18,t3,0.004975124378109453,0.0,0.9950248756218906,0.8555555555555555
old_vs_fixed,p23,t2,0.007473841554559043,0.0,0.992526158445441,0.8559701492537314
old_vs_fixed,p59,t2,0.002176278563656148,0.0,0.9978237214363439,0.8561346362649295
old_vs_fixed,p63,t2,0.03228346456692913,0.0015748031496062992,0.9661417322834646,0.8561484918793504
old_vs_fixed,p73,t2,0.00548159749412686,0.0015661707126076742,0.9929522317932654,0.8565285379202502
